station_id,ps_cd_mha,name,district,district_raw,kind,latitude,longitude,thana_id,match_method,name_agreement
BH-PS-5102002,5102002,BIRPUR,BEGUSARAI,BEGUSARAI,territorial,25.3,85.2026,,district-conflict,0.0
BH-PS-5102005,5102005,BACHHWARA,BEGUSARAI,BEGUSARAI,territorial,25.3502,85.5417,,district-conflict,0.0
BH-PS-5102006,5102006,BAKHARI,BEGUSARAI,BEGUSARAI,territorial,25.6085,86.1554,BH-5102004,spatial-only,0.308
BH-PS-5102007,5102007,BALIA,BEGUSARAI,BEGUSARAI,territorial,25.4166,86.1293,BH-5102038,spatial-only,0.333
BH-PS-5102008,5102008,BARAUNI,BEGUSARAI,BEGUSARAI,territorial,25.2712,86.0143,,district-conflict,0.0
BH-PS-5102010,5102010,BEGUSARAI TOWN,BEGUSARAI,BEGUSARAI,territorial,25.4152,86.1353,BH-5102038,spatial-only,0.3
BH-PS-5102013,5102013,CHERIYABARIYAR PUR,BEGUSARAI,BEGUSARAI,territorial,25.3448,86.053,,district-conflict,0.0
BH-PS-5102016,5102016,GARHPURA,BEGUSARAI,BEGUSARAI,territorial,25.4163,86.1253,BH-5102038,spatial-only,0.133
BH-PS-5102027,5102027,KHODAWANDPUR,BEGUSARAI,BEGUSARAI,territorial,25.6635,86.0283,BH-5102027,spatial-only,0.818
BH-PS-5102031,5102031,MATIHANI,BEGUSARAI,BEGUSARAI,territorial,25.3667,86.1664,BH-5102031,spatial+name,1.0
BH-PS-5102032,5102032,MASUR CHAK,BEGUSARAI,BEGUSARAI,territorial,25.6242,85.9242,BH-5102032,spatial+name,0.947
BH-PS-5102033,5102033,NAYAGAON,BEGUSARAI,BEGUSARAI,territorial,25.4167,86.1333,BH-5102038,spatial-only,0.267
BH-PS-5102034,5102034,NIMACHAND PUR,BEGUSARAI,BEGUSARAI,territorial,25.494,86.2001,BH-5102034,spatial+name,0.96
BH-PS-5102035,5102035,NAWA KOTHI,BEGUSARAI,BEGUSARAI,territorial,25.3112,86.1156,BH-5102031,spatial-only,0.235
BH-PS-5102036,5102036,PHULWARIA,BEGUSARAI,BEGUSARAI,territorial,25.4712,85.9777,BH-5102040,spatial-only,0.154
BH-PS-5102037,5102037,SAHEBPUR KAMAL,BEGUSARAI,BEGUSARAI,territorial,25.3754,86.2412,BH-5102007,spatial-only,0.333
BH-PS-5102038,5102038,BEGUSARAI MUFASSIL,BEGUSARAI,BEGUSARAI,territorial,25.417,86.1286,BH-5102038,spatial-only,0.609
BH-PS-5102040,5102040,TEGHRA,BEGUSARAI,BEGUSARAI,territorial,25.5014,85.9409,BH-5102040,spatial+name,1.0
BH-PS-5102041,5102041,BHAGWANPUR,BEGUSARAI,BEGUSARAI,territorial,25.5439,86.0065,BH-5102041,spatial+name,1.0
BH-PS-5102042,5102042,DANDARI,BEGUSARAI,BEGUSARAI,territorial,25.4167,86.1332,BH-5102038,spatial-only,0.286
BH-PS-5102043,5102043,MAHILA,BEGUSARAI,BEGUSARAI,mahila,25.4152,86.1353,,located-in-BH-5102038-not-mapped,0.615
BH-PS-5102046,5102046,Begusarai Prohibition,BEGUSARAI,BEGUSARAI,prohibition,25.414912,86.136702,,located-in-BH-5102038-not-mapped,0.222
BH-PS-5127004,5127004,BALTHAR,WEST CHAMPARAN,BETIAH,territorial,27.027,84.635,BH-5127024,spatial-only,0.167
BH-PS-5127005,5127005,BHANGAHA,WEST CHAMPARAN,BETIAH,territorial,27.1915,84.6817,BH-5127019,spatial-only,0.235
BH-PS-5127007,5127007,MUFASSIL,WEST CHAMPARAN,BETIAH,territorial,26.8009,84.5351,BH-5127007,spatial-only,0.7
BH-PS-5127008,5127008,BAIRIYA,WEST CHAMPARAN,BETIAH,territorial,26.7527,84.4481,BH-5127008,spatial+name,0.909
BH-PS-5127009,5127009,CHANPATIA,WEST CHAMPARAN,BETIAH,territorial,26.9454,84.5524,BH-5127009,spatial+name,1.0
BH-PS-5127011,5127011,GAUNAHA,WEST CHAMPARAN,BETIAH,territorial,27.285887,84.519677,BH-5127011,spatial+name,1.0
BH-PS-5127012,5127012,YOGAPATTI,WEST CHAMPARAN,BETIAH,territorial,26.9016,84.3557,BH-5127012,spatial+name,1.0
BH-PS-5127015,5127015,GOPALPUR,WEST CHAMPARAN,BETIAH,territorial,27.0087,84.633,BH-5127024,spatial-only,0.154
BH-PS-5127018,5127018,LAURIA,WEST CHAMPARAN,BETIAH,territorial,26.9941,84.4053,BH-5127018,spatial+name,1.0
BH-PS-5127019,5127019,MAINATAND,WEST CHAMPARAN,BETIAH,territorial,27.1005,84.6465,BH-5127019,spatial+name,1.0
BH-PS-5127020,5127020,MAJHAULIA,WEST CHAMPARAN,BETIAH,territorial,26.7984,84.6231,BH-5127020,spatial+name,0.947
BH-PS-5127021,5127021,NAUTAN,WEST CHAMPARAN,BETIAH,territorial,26.7121,84.4787,BH-5127021,spatial+name,1.0
BH-PS-5127024,5127024,SIKTA,WEST CHAMPARAN,BETIAH,territorial,27.0262,84.6811,BH-5127024,spatial+name,1.0
BH-PS-5127025,5127025,SHIKARPUR,WEST CHAMPARAN,BETIAH,territorial,27.1118,84.4665,BH-5127010,spatial-only,0.19
BH-PS-5127026,5127026,SATHI,WEST CHAMPARAN,BETIAH,territorial,27.0182,84.5068,BH-5127010,spatial-only,0.353
BH-PS-5127031,5127031,Traffic,WEST CHAMPARAN,BETIAH,traffic,26.80122,84.50991,,located-in-BH-5127006-not-mapped,0.235
BH-PS-5127032,5127032,INARWA,WEST CHAMPARAN,BETIAH,territorial,27.1351,84.6769,BH-5127019,spatial-only,0.533
BH-PS-5127033,5127033,KANGLI,WEST CHAMPARAN,BETIAH,territorial,27.0057,84.7348,BH-5127024,spatial-only,0.364
BH-PS-5127035,5127035,PURUSHOTTAMPUR,WEST CHAMPARAN,BETIAH,territorial,27.0491,84.6368,BH-5127019,spatial-only,0.182
BH-PS-5127045,5127045,MANPUR,WEST CHAMPARAN,BETIAH,territorial,27.2737,84.6348,BH-5127019,spatial-only,0.4
BH-PS-5127047,5127047,MATIARIA,WEST CHAMPARAN,BETIAH,territorial,27.2886,84.3671,BH-5127011,spatial-only,0.4
BH-PS-5127055,5127055,SAHODARA,WEST CHAMPARAN,BETIAH,territorial,27.2801,84.5701,BH-5127011,spatial-only,0.4
BH-PS-5127057,5127057,SRINAGAR,WEST CHAMPARAN,BETIAH,territorial,26.675,84.3901,,none,0.0
BH-PS-5127060,5127060,Bettiah Prohibition,WEST CHAMPARAN,BETIAH,prohibition,26.808575,84.500182,,located-in-BH-5127006-not-mapped,0.5
BH-PS-5792001,5792001,ADHAURA,KAIMUR (BHABUA),BHABHUA,territorial,24.6981,83.613,BH-5792001,spatial+name,1.0
BH-PS-5792002,5792002,BHAGWANPUR,KAIMUR (BHABUA),BHABHUA,territorial,24.9619,83.609,BH-5792002,spatial+name,1.0
BH-PS-5792003,5792003,KUCHILA,KAIMUR (BHABUA),BHABHUA,territorial,25.2633,83.8683,,district-conflict,0.0
BH-PS-5792005,5792005,BHABHUA,KAIMUR (BHABUA),BHABHUA,territorial,25.0396,83.6074,BH-5792005,spatial+name,0.923
BH-PS-5792007,5792007,CHAINPUR,KAIMUR (BHABUA),BHABHUA,territorial,25.043,83.5088,BH-5792007,spatial+name,1.0
BH-PS-5792008,5792008,CHAND,KAIMUR (BHABUA),BHABHUA,territorial,25.1138,83.3981,BH-5792008,spatial+name,1.0
BH-PS-5792012,5792012,DURGAWATI,KAIMUR (BHABUA),BHABHUA,territorial,25.2141,83.5169,BH-5792012,spatial+name,1.0
BH-PS-5792013,5792013,KARAMCHAT,KAIMUR (BHABUA),BHABHUA,territorial,24.9304,83.7736,BH-5792013,spatial+name,1.0
BH-PS-5792015,5792015,KUDRA,KAIMUR (BHABUA),BHABHUA,territorial,25.048,83.7927,BH-5792015,spatial+name,1.0
BH-PS-5792017,5792017,MOHANIA,KAIMUR (BHABUA),BHABHUA,territorial,25.1673,83.6162,BH-5792017,spatial+name,1.0
BH-PS-5792020,5792020,RAMGARH,KAIMUR (BHABUA),BHABHUA,territorial,25.2882,83.6558,BH-5792020,spatial+name,1.0
BH-PS-5792029,5792029,KUDHNI,KAIMUR (BHABUA),BHABHUA,territorial,25.2931,83.825,BH-5792029,spatial+name,0.833
BH-PS-5792038,5792038,Lohra,KAIMUR (BHABUA),BHABHUA,territorial,24.1846,83.6437,,none,0.0
BH-PS-5103001,5103001,AKBARNER,BHAGALPUR,BHAGALPUR,territorial,25.2442,86.7447,BH-5103053,spatial-only,0.333
BH-PS-5103003,5103003,BATH,BHAGALPUR,BHAGALPUR,territorial,25.1372,86.7376,BH-5103003,spatial+name,1.0
BH-PS-5103013,5103013,BUDHUCHAK,BHAGALPUR,BHAGALPUR,territorial,25.37,87.36,BH-5103014,spatial-only,0.375
BH-PS-5103014,5103014,EKCHARI,BHAGALPUR,BHAGALPUR,territorial,25.2124,87.2161,BH-5103027,spatial-only,0.267
BH-PS-5103017,5103017,KAJARAILICHAK,BHAGALPUR,BHAGALPUR,territorial,25.15,86.94,BH-5103017,spatial-only,0.762
BH-PS-5103018,5103018,HABIBPUR,BHAGALPUR,BHAGALPUR,territorial,25.2342,86.9608,BH-5103018,spatial+name,1.0
BH-PS-5103022,5103022,KAHALGAON,BHAGALPUR,BHAGALPUR,territorial,25.2627,87.2366,BH-5103022,spatial+name,1.0
BH-PS-5103023,5103023,KOTWALI,BHAGALPUR,BHAGALPUR,territorial,25.2458,86.9721,BH-5103023,spatial+name,1.0
BH-PS-5103024,5103024,LODIPUR,BHAGALPUR,BHAGALPUR,territorial,25.24,86.99,BH-5103032,spatial-only,0.588
BH-PS-5103026,5103026,JAGDISHPUR,BHAGALPUR,BHAGALPUR,territorial,25.1143,86.9801,BH-5103026,spatial+name,1.0
BH-PS-5103032,5103032,MOZAHIDPUR,BHAGALPUR,BHAGALPUR,territorial,25.2398,86.9794,BH-5103032,spatial+name,1.0
BH-PS-5103036,5103036,NATH NAGAR,BHAGALPUR,BHAGALPUR,territorial,25.2432,86.9349,BH-5103005,spatial-only,0.353
BH-PS-5103041,5103041,PIRPAINTI,BHAGALPUR,BHAGALPUR,territorial,25.3242,87.4283,BH-5103041,spatial+name,1.0
BH-PS-5103049,5103049,SABAUR,BHAGALPUR,BHAGALPUR,territorial,25.24,87.044,BH-5103067,spatial-only,0.4
BH-PS-5103050,5103050,SHAHKUND,BHAGALPUR,BHAGALPUR,territorial,25.1673,86.8195,BH-5103050,spatial+name,1.0
BH-PS-5103052,5103052,SONHAULA,BHAGALPUR,BHAGALPUR,territorial,25.0878,87.1627,BH-5103052,spatial-only,0.75
BH-PS-5103053,5103053,SULTANGANJ,BHAGALPUR,BHAGALPUR,territorial,25.246,86.738,BH-5103053,spatial+name,1.0
BH-PS-5103058,5103058,SANDKHAR,BHAGALPUR,BHAGALPUR,territorial,25.1601372,87.2700348,BH-5103058,spatial+name,0.857
BH-PS-5103063,5103063,ISHIPUR BARAHAT,BHAGALPUR,BHAGALPUR,territorial,25.2146,87.3724,BH-5103063,spatial+name,1.0
BH-PS-5103064,5103064,MAHILA,BHAGALPUR,BHAGALPUR,mahila,25.2414,86.9924,,located-in-BH-5103032-not-mapped,0.5
BH-PS-5103065,5103065,NTPC,BHAGALPUR,BHAGALPUR,territorial,25.15,87.15,BH-5103016,spatial-only,0.0
BH-PS-5103067,5103067,AUDHYOGIK,BHAGALPUR,BHAGALPUR,territorial,25.2562,87.0241,BH-5103067,spatial-only,0.087
BH-PS-5103068,5103068,Bhagalpur Prohibition,BHAGALPUR,BHAGALPUR,prohibition,25.25122,86.978618,,located-in-BH-5103002-not-mapped,0.154
BH-PS-5124003,5124003,CHANDI,BHOJPUR,BHOJPUR,territorial,25.5434,84.7504,BH-5124003,spatial+name,1.0
BH-PS-5124004,5124004,CHARPOKHARI,BHOJPUR,BHOJPUR,territorial,25.3614,84.4846,BH-5124004,spatial+name,1.0
BH-PS-5124005,5124005,SC/ST,BHOJPUR,BHOJPUR,sc_st,25.5613,84.6514,,located-in-BH-5124015-not-mapped,0.182
BH-PS-5124006,5124006,BARHARA,BHOJPUR,BHOJPUR,territorial,25.6758,84.7239,BH-5124006,spatial+name,1.0
BH-PS-5124008,5124008,BIHIYA,BHOJPUR,BHOJPUR,territorial,25.5609,84.4514,BH-5124011,spatial-only,0.267
BH-PS-5124009,5124009,DHANGAI,BHOJPUR,BHOJPUR,territorial,25.4543,84.3783,BH-5124009,spatial+name,1.0
BH-PS-5124011,5124011,JAGDISHPUR,BHOJPUR,BHOJPUR,territorial,25.4726,84.4247,BH-5124009,spatial-only,0.353
BH-PS-5124012,5124012,KOILWAR,BHOJPUR,BHOJPUR,territorial,25.5781,84.7904,BH-5124012,spatial+name,1.0
BH-PS-5124015,5124015,MUFASSIL,BHOJPUR,BHOJPUR,territorial,25.5613,84.6514,BH-5124015,spatial+name,1.0
BH-PS-5124016,5124016,NAWADA,BHOJPUR,BHOJPUR,territorial,25.5525,84.6652,BH-5124015,spatial-only,0.154
BH-PS-5124017,5124017,PAWANA,BHOJPUR,BHOJPUR,territorial,25.4075,84.628,BH-5124017,spatial+name,0.909
BH-PS-5124018,5124018,PIRO,BHOJPUR,BHOJPUR,territorial,25.3308,84.4005,BH-5124018,spatial+name,1.0
BH-PS-5124021,5124021,SAHAAR,BHOJPUR,BHOJPUR,territorial,25.2498,84.6258,BH-5124021,spatial+name,1.0
BH-PS-5124022,5124022,SANDESH,BHOJPUR,BHOJPUR,territorial,25.4055,84.7413,BH-5124022,spatial+name,1.0
BH-PS-5124023,5124023,SHAHPUR,BHOJPUR,BHOJPUR,territorial,25.5988,84.3988,BH-5124023,spatial+name,1.0
BH-PS-5124024,5124024,SIKARHATTA,BHOJPUR,BHOJPUR,territorial,25.276,84.4911,BH-5124024,spatial+name,1.0
BH-PS-5124028,5124028,TIYAR,BHOJPUR,BHOJPUR,territorial,25.5365,84.3405,BH-5124028,spatial+name,1.0
BH-PS-5124029,5124029,TARARI,BHOJPUR,BHOJPUR,territorial,25.2093,84.4162,BH-5124029,spatial+name,1.0
BH-PS-5124030,5124030,UDWANT NAGAR,BHOJPUR,BHOJPUR,territorial,25.5004,84.6263,BH-5124030,spatial+name,1.0
BH-PS-5124032,5124032,AGIAON BAZAR,BHOJPUR,BHOJPUR,territorial,25.3342,84.3461,BH-5124032,spatial+name,1.0
BH-PS-5124033,5124033,AIYAR,BHOJPUR,BHOJPUR,territorial,25.4509,84.5087,BH-5124033,spatial+name,1.0
BH-PS-5124034,5124034,AZIMABAD,BHOJPUR,BHOJPUR,territorial,25.331,84.7097,BH-5124034,spatial+name,1.0
BH-PS-5124038,5124038,CHAURI,BHOJPUR,BHOJPUR,territorial,25.2676,84.5242,BH-5124038,spatial+name,1.0
BH-PS-5124042,5124042,IMADPUR,BHOJPUR,BHOJPUR,territorial,25.2183,84.4894,BH-5124042,spatial+name,1.0
BH-PS-5124043,5124043,MAHILA,BHOJPUR,BHOJPUR,mahila,25.5651,84.6622,,located-in-BH-5124015-not-mapped,0.615
BH-PS-5124044,5124044,NAGAR,BHOJPUR,BHOJPUR,territorial,25.565,84.6681,BH-5124015,spatial-only,0.167
BH-PS-5124045,5124045,Hasanbazar,BHOJPUR,BHOJPUR,territorial,25.2684,84.347,BH-5124018,spatial-only,0.143
BH-PS-5124048,5124048,NARAINPUR,BHOJPUR,BHOJPUR,territorial,25.3319,84.6058,BH-5124048,spatial+name,0.947
BH-PS-5793002,5793002,KRISHNABRAHM,BUXAR,BUXAR,territorial,25.5774971,84.2143165,BH-5793012,spatial+name,0.846
BH-PS-5793003,5793003,KORAN SARAI,BUXAR,BUXAR,territorial,25.4616,84.1845,BH-5793003,spatial+name,1.0
BH-PS-5793005,5793005,BRAHMPUR,BUXAR,BUXAR,territorial,25.5976,84.3039,BH-5793005,spatial+name,0.875
BH-PS-5793006,5793006,BAGENGOLA,BUXAR,BUXAR,territorial,25.5009,84.2944,BH-5793006,spatial+name,1.0
